Country Code,year,gdp_per_capita,Income
MDA,2023,6799.585946,ECA
MKD,2023,8624.284002,ECA
MNE,2023,12077.37471,ECA
NLD,2023,64572.00596,ECA
NOR,2023,87497.32893,ECA
POL,2023,22145.26431,ECA
PRT,2023,27386.29206,ECA
ROU,2023,18404.27309,ECA
RUS,2023,14159.3877,ECA
SRB,2023,12281.50585,ECA
SVK,2023,24673.5483,ECA
SVN,2023,32610.11092,ECA
SWE,2023,55567.08901,ECA
TJK,2023,1178.479901,ECA
TKM,2023,8232.65226,ECA
TUR,2023,13105.6585,ECA
UKR,2023,5139.598145,ECA
UZB,2023,2878.968793,ECA
ARE,2023,49040.69475,HIC
ATG,2023,21494.5474,HIC
BHR,2023,29290.12842,HIC
BHS,2023,38231.77448,HIC
BRB,2023,23804.02499,HIC
CAN,2023,54220.3285,HIC
CHL,2023,17067.03648,HIC
CRI,2023,16942.02681,HIC
GUY,2023,20473.70022,HIC
ISR,2023,52003.72007,HIC
KWT,2023,34075.84904,HIC
MLT,2023,40182.43139,HIC
OMN,2023,20972.48309,HIC
PAN,2023,18686.4051,HIC
PRI,2023,36948.40364,HIC
QAT,2023,80195.87465,HIC
SAU,2023,36156.84834,HIC
SYC,2023,18262.71158,HIC
TTO,2023,18639.25924,HIC
URY,2023,23019.42216,HIC
USA,2023,82304.62043,HIC
ARG,2023,14187.48273,LAC
BLZ,2023,7459.998151,LAC
BOL,2023,3686.279964,LAC
BRA,2023,10377.58928,LAC
COL,2023,7000.836605,LAC
DOM,2023,10630.43174,LAC
ECU,2023,6737.847484,LAC
GRD,2023,11308.28742,LAC
GTM,2023,5758.308763,LAC
HND,2023,3227.457625,LAC
HTI,2023,1705.758085,LAC
JAM,2023,6839.725024,LAC
LCA,2023,13554.76848,LAC
MEX,2023,13826.13066,LAC
NIC,2023,2609.444921,LAC
PER,2023,7887.541859,LAC
PRY,2023,6299.990265,LAC
SLV,2023,5365.444914,LAC
SUR,2023,5494.074094,LAC
VCT,2023,10582.36567,LAC
BDI,2023,192.0743054,LIC
BFA,2023,882.6898101,LIC
CAF,2023,495.9788973,LIC
COD,2023,633.3956617,LIC
GMB,2023,888.1574074,LIC
GNB,2023,964.9275542,LIC
LBR,2023,799.1944702,LIC
MDG,2023,508.7184277,LIC
MLI,2023,1035.862426,LIC
MOZ,2023,622.9856193,LIC
MWI,2023,602.3436198,LIC
NER,2023,638.3360807,LIC
RWA,2023,1027.034468,LIC
SDN,2023,797.2834473,LIC
SLE,2023,757.8486806,LIC
SOM,2023,597.4588546,LIC
TCD,2023,989.058529,LIC
TGO,2023,985.6975126,LIC
UGA,2023,1002.309139,LIC
AGO,2023,2309.53413,LMC
BEN,2023,1394.177847,LMC
BGD,2023,2551.017738,LMC
CIV,2023,2554.673049,LMC
CMR,2023,1736.860911,LMC
COG,2023,2477.978455,LMC
COM,2023,1682.202851,LMC
DJI,2023,3397.520158,LMC
EGY,2023,3456.789685,LMC
GHA,2023,2383.904105,LMC
GIN,2023,1555.493758,LMC
IND,2023,2530.120313,LMC
JOR,2023,4466.083142,LMC
KEN,2023,1952.304579,LMC
LKA,2023,3798.890166,LMC
LSO,2023,916.2829705,LMC
MAR,2023,3771.446289,LMC
MRT,2023,2120.823184,LMC
